id,name,HP,attack,defense,sp. attack,sp. defense,speed,species,description,height,weight,gender,thumbnail,type_fire,type_water,type_electric,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
11,"Metapod",50,20,55,25,25,30,"Cocoon Pokémon","Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.","0.7 m","9.9 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/011.png",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,"Butterfree",60,45,50,90,80,70,"Butterfly Pokémon","Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.","1.1 m","32 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/012.png",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
13,"Weedle",40,35,30,20,20,50,"Hairy Bug Pokémon","Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).","0.3 m","3.2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/013.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,"Kakuna",45,25,50,25,25,35,"Cocoon Pokémon","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","0.6 m","10 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/014.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
15,"Beedrill",65,90,40,45,80,75,"Poison Bee Pokémon","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","1 m","29.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/015.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16,"Pidgey",40,45,40,35,35,56,"Tiny Bird Pokémon","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","0.3 m","1.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/016.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,"Pidgeotto",63,60,55,50,50,71,"Bird Pokémon","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","1.1 m","30 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/017.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,"Pidgeot",83,80,75,70,70,101,"Bird Pokémon","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","1.5 m","39.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/018.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,"Rattata",30,56,35,25,35,72,"Mouse Pokémon","This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.","0.3 m","3.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/019.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Raticate",55,81,60,50,70,97,"Mouse Pokémon","Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.","0.7 m","18.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/020.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Spearow",40,60,30,31,31,70,"Tiny Bird Pokémon","Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon.","0.3 m","2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/021.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,"Fearow",65,90,65,61,61,100,"Beak Pokémon","In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food.","1.2 m","38 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/022.png",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,"Ekans",35,60,44,40,54,55,"Snake Pokémon","The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints.","2 m","6.9 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/023.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,"Arbok",60,95,69,65,79,80,"Cobra Pokémon","After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.","3.5 m","65 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/024.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,"Pikachu",35,55,40,50,50,90,"Mouse Pokémon","While sleeping, it generates electricity in the sacs in its cheeks. If it’s not getting enough sleep, it will be able to use only weak electricity.","0.4 m","6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/025.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Raichu",60,90,55,90,80,110,"Mouse Pokémon","Because so many Trainers like the way Pikachu looks, you don’t see this Pokémon very often.","0.8 m","30 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/026.png",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Sandshrew",50,75,85,20,30,40,"Mouse Pokémon","When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out.","0.6 m","12 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/027.png",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,"Sandslash",75,100,110,45,55,65,"Mouse Pokémon","Thanks to its thick claws, it’s good at climbing trees. There are plenty of Sandslash that park themselves in trees and go right to sleep.","1 m","29.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/028.png",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,"Nidoran♀",55,47,52,40,40,41,"Poison Pin Pokémon","Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","0.4 m","7 kg","0:100","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/029.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,"Nidorina",70,62,67,55,55,56,"Poison Pin Pokémon","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","0.8 m","20 kg","0:100","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/030.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,"Nidoqueen",90,92,87,75,85,76,"Drill Pokémon","Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.","1.3 m","60 kg","0:100","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/031.png",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,"Nidoran♂",46,57,40,40,40,50,"Poison Pin Pokémon","Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.","0.5 m","9 kg","100:0","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/032.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,"Nidorino",61,72,57,55,55,65,"Poison Pin Pokémon","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","0.9 m","19.5 kg","100:0","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/033.png",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,"Nidoking",81,102,77,85,75,85,"Drill Pokémon","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","1.4 m","62 kg","100:0","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/034.png",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
35,"Clefairy",70,45,48,60,65,35,"Fairy Pokémon","Bathed in moonlight, its wings glow faintly. Without even flapping, Clefairy rises into the air, where it dances around.","0.6 m","7.5 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/035.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,"Clefable",95,70,73,95,90,60,"Fairy Pokémon","Some scientists believe that it gazes intently at the sky on nights with a full moon because it’s homesick.","1.3 m","40 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/036.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,"Vulpix",38,41,40,50,65,65,"Fox Pokémon","It manipulates balls of fire to catch its prey. If you raise one from when it’s young, it will grow close to you like a puppy Pokémon.","0.6 m","9.9 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/037.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Ninetales",73,76,75,81,100,100,"Fox Pokémon","The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks.","1.1 m","19.9 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/038.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Jigglypuff",115,45,20,45,25,20,"Balloon Pokémon","The songs they sing are totally different depending on the region they live in. Some even sound like they’re shouting!","0.5 m","5.5 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/039.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,"Wigglytuff",140,70,45,85,50,45,"Balloon Pokémon","When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger!","1 m","12 kg","25:75","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/040.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,"Zubat",40,45,35,30,40,55,"Bat Pokémon","Their skin is so thin that they’ll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another’s bodies.","0.8 m","7.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/041.png",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,"Golbat",75,80,70,65,75,90,"Bat Pokémon","They can suck down over 10 ounces of blood in one go. They have been known to drink so much blood that they can no longer fly.","1.6 m","55 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/042.png",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
43,"Oddish",45,50,55,75,65,30,"Weed Pokémon","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.","0.5 m","5.4 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/043.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
44,"Gloom",60,65,70,85,75,40,"Weed Pokémon","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","0.8 m","8.6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/044.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,"Vileplume",75,80,85,110,90,50,"Flower Pokémon","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","1.2 m","18.6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/045.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,"Paras",35,70,55,45,55,25,"Mushroom Pokémon","The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.","0.3 m","5.4 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/046.png",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,"Parasect",60,95,80,60,80,30,"Mushroom Pokémon","Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality.","1 m","29.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/047.png",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48,"Venonat",60,55,50,40,55,45,"Insect Pokémon","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","1 m","30 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/048.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
49,"Venomoth",70,65,60,90,75,90,"Poison Moth Pokémon","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","1.5 m","12.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/049.png",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
50,"Diglett",10,55,25,35,45,95,"Mole Pokémon","Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them.","0.2 m","0.8 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/050.png",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,"Dugtrio",35,100,50,50,70,120,"Mole Pokémon","Dugtrio’s heads are sleek and smooth and incredibly hard. It can dig through any soil with its headbutts.","0.7 m","33.3 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/051.png",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,"Meowth",40,45,35,40,40,90,"Scratch Cat Pokémon","It loves coins, so if you give it one, you can make friends with Meowth easily. But it’s fickle, so you can’t count on that friendship lasting.","0.4 m","4.2 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/052.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Persian",65,70,60,65,65,115,"Classy Cat Pokémon","This Pokémon is popular with rich people. It’s also targeted by hunters who are after the jewel in its forehead.","1 m","32 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/053.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Psyduck",50,52,48,65,50,55,"Duck Pokémon","It has been found that its brain cells are 10 times more active when Psyduck is experiencing a headache.","0.8 m","19.6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/054.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Golduck",80,82,78,95,80,85,"Duck Pokémon","A professional swimmer, it can continue swimming for two days straight by waving its long tail skillfully.","1.7 m","76.6 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/055.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Mankey",40,80,35,35,45,70,"Pig Monkey Pokémon","If one gets angry, all the others around it will get angry, so silence is a rare visitor in a troop of Mankey.","0.5 m","28 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/056.png",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,"Primeape",65,105,60,60,70,95,"Pig Monkey Pokémon","The blood vessels in its brain are sturdier than those of other Pokémon, so it can stay healthy despite its constant raging.","1 m","32 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/057.png",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,"Growlithe",55,70,45,70,50,60,"Puppy Pokémon","It has lived alongside humans since ages ago. Its bones have been found in excavations of ruins from the Stone Age.","0.7 m","19 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/058.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Arcanine",90,110,80,100,80,95,"Legendary Pokémon","There are so many old tales about them that they’re called legendary Pokémon, but there are way more of them around than you’d expect.","1.9 m","155 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/059.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Poliwag",40,50,40,40,40,90,"Tadpole Pokémon","The direction of the swirl on their stomachs differs depending on where they live. Poliwag aficionados can tell them apart at a glance.","0.6 m","12.4 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/060.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Poliwhirl",65,65,65,50,50,90,"Tadpole Pokémon","Its health suffers when its skin dries out, so be sure to moisturize it diligently.","1 m","20 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/061.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"Poliwrath",90,95,95,70,90,70,"Tadpole Pokémon","The muscles it has developed through swimming are thick and powerful. When it lands a square punch, it can turn huge boulders to dust.","1.3 m","54 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/062.png",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,"Abra",25,20,15,105,55,90,"Psi Pokémon","It can read others’ minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.","0.9 m","19.5 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/063.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,"Kadabra",40,35,30,120,70,105,"Psi Pokémon","It possesses strong mental capabilities, but its psychic powers are halved when it’s not holding a silver spoon.","1.3 m","56.5 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/064.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,"Alakazam",55,50,45,135,95,120,"Psi Pokémon","If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious.","1.5 m","48 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/065.png",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,"Machop",70,80,50,35,35,35,"Superpower Pokémon","It likes food that’s highly nutritious because its instincts drive it to build muscle efficiently.","0.8 m","19.5 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/066.png",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,"Machoke",80,100,70,50,60,45,"Superpower Pokémon","A popular motif for sculptures, its incredibly well-developed muscles have captured the imagination of many an artist.","1.5 m","70.5 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/067.png",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,"Machamp",90,130,80,65,85,55,"Superpower Pokémon","With four arms, it can attack and defend simultaneously. It’s said to have mastered every martial art in the world.","1.6 m","130 kg","75:25","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/068.png",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,"Bellsprout",50,75,35,70,30,40,"Flower Pokémon","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","0.7 m","4 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/069.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
70,"Weepinbell",65,90,50,85,45,55,"Flycatcher Pokémon","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","1 m","6.4 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/070.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
71,"Victreebel",80,105,65,100,70,70,"Flycatcher Pokémon","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","1.7 m","15.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/071.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,"Tentacool",40,40,35,50,100,70,"Jellyfish Pokémon","Its body is 99% water. The remaining 1% contains the organ that makes its poison.","0.9 m","45.5 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/072.png",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,"Tentacruel",80,70,65,80,120,100,"Jellyfish Pokémon","It communicates with others of its kind by lighting up the red orbs on its head. When the orbs are blinking, it’s a warning sign.","1.6 m","55 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/073.png",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,"Geodude",40,80,100,30,30,20,"Rock Pokémon","It uses both hands to climb precipitous cliffs. People who see it in action have been known to take up bouldering.","0.4 m","20 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/074.png",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
75,"Graveler",55,95,115,45,45,35,"Rock Pokémon","It travels by rolling down cliffs. If it falls into a river, it will explode with its last gasp.","1 m","105 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/075.png",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
76,"Golem",80,120,130,55,65,45,"Megaton Pokémon","It detonates its own body. The power from that explosion can propel it up steep mountain paths with amazing speed.","1.4 m","300 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/076.png",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
